,yearstart,locationabbr,locationdesc,topic,question,datavalueunit,datavaluetype,datavalue,datavaluefootnote,stratificationcategory1,stratification1,geolocation
211559,2021,MN,Minnesota,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,33.9,,Sex,Female,POINT (-94.79420050299967 46.35564873600049)
211570,2021,MO,Missouri,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,22.0,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
211581,2021,MI,Michigan,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,27.5,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
211600,2021,MI,Michigan,Diabetes,Diabetes among adults,%,Crude Prevalence,10.3,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
211613,2021,MI,Michigan,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,32.6,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
211629,2021,MO,Missouri,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,12.9,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
211677,2021,MI,Michigan,Alcohol,Alcohol use among high school students,%,Crude Prevalence,14.3,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
211712,2021,MI,Michigan,Asthma,Current asthma among adults,%,Crude Prevalence,9.0,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
211738,2021,MO,Missouri,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,13.2,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
211756,2021,MO,Missouri,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,34.7,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
211781,2021,MD,Maryland,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,14.8,,Sex,Female,POINT (-76.60926011099963 39.29058096400047)
211782,2021,MT,Montana,Diabetes,Diabetes among adults,%,Crude Prevalence,9.0,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
211793,2021,MO,Missouri,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,18.2,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
211857,2021,MI,Michigan,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,1.7,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
211872,2021,NE,Nebraska,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,85.2,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
211884,2021,MA,Massachusetts,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,32.5,,Sex,Male,POINT (-72.08269067499964 42.27687047000046)
211890,2021,NE,Nebraska,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,13.4,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
211987,2021,MS,Mississippi,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,39.5,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
211994,2021,MI,Michigan,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,10.9,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
212026,2021,MT,Montana,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,27.4,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
212036,2021,MS,Mississippi,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,19.5,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
212095,2021,MT,Montana,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,27.9,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
212122,2021,MS,Mississippi,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,45.2,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
212173,2021,MO,Missouri,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,84.1,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
212247,2021,NE,Nebraska,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,45.1,,Sex,Male,POINT (-99.36572062299967 41.6410409880005)
212307,2021,MA,Massachusetts,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,12.1,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
212312,2021,MI,Michigan,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,12.1,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
212329,2021,MS,Mississippi,Alcohol,Alcohol use among high school students,%,Crude Prevalence,19.0,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
212330,2021,MA,Massachusetts,Mental Health,Depression among adults,%,Crude Prevalence,22.8,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
212395,2021,MS,Mississippi,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,17.6,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
212404,2021,MI,Michigan,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,84.2,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
212466,2021,MA,Massachusetts,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,38.1,,Sex,Male,POINT (-72.08269067499964 42.27687047000046)
212495,2021,MN,Minnesota,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,29.5,,Sex,Female,POINT (-94.79420050299967 46.35564873600049)
212508,2021,MI,Michigan,Arthritis,Arthritis among adults,%,Crude Prevalence,25.6,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
212582,2021,MO,Missouri,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,17.6,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
212585,2021,NE,Nebraska,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,33.4,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
212623,2021,NE,Nebraska,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,14.3,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
212657,2021,NE,Nebraska,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,30.9,,Sex,Male,POINT (-99.36572062299967 41.6410409880005)
212682,2021,MN,Minnesota,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,58.0,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
212698,2021,MO,Missouri,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,67.3,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
212731,2021,NE,Nebraska,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,10.8,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
212733,2021,MS,Mississippi,Asthma,Current asthma among adults,%,Crude Prevalence,12.8,,Sex,Female,POINT (-89.53803082499968 32.745510099000455)
212740,2021,MT,Montana,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,31.7,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
212780,2021,MS,Mississippi,Disability,Adults with any disability,%,Crude Prevalence,35.3,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
212810,2021,MT,Montana,Disability,Adults with any disability,%,Crude Prevalence,29.0,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
212828,2021,MI,Michigan,Disability,Adults with any disability,%,Crude Prevalence,30.8,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
212830,2021,MI,Michigan,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,34.6,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
212847,2021,MN,Minnesota,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,37.2,,Sex,Female,POINT (-94.79420050299967 46.35564873600049)
212863,2021,MI,Michigan,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.8,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
212874,2021,NE,Nebraska,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,4.3,,Sex,Male,POINT (-99.36572062299967 41.6410409880005)
212968,2021,MD,Maryland,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,13.0,,Sex,Male,POINT (-76.60926011099963 39.29058096400047)
212970,2021,MI,Michigan,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,20.2,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
213078,2021,MT,Montana,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,13.5,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
213079,2021,MA,Massachusetts,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,32.5,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
213081,2021,NV,Nevada,Asthma,Current asthma among adults,%,Crude Prevalence,8.0,,Sex,Male,POINT (-117.07184056399967 39.493240390000494)
213093,2021,NE,Nebraska,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.2,,Sex,Male,POINT (-99.36572062299967 41.6410409880005)
213124,2021,MS,Mississippi,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,43.3,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
213158,2021,MD,Maryland,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,81.5,,Sex,Female,POINT (-76.60926011099963 39.29058096400047)
213204,2021,MI,Michigan,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,69.4,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
213219,2021,MT,Montana,Alcohol,Alcohol use among high school students,%,Crude Prevalence,28.1,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
213262,2021,NV,Nevada,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,34.0,,Sex,Female,POINT (-117.07184056399967 39.493240390000494)
213284,2021,NV,Nevada,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,73.2,,Sex,Male,POINT (-117.07184056399967 39.493240390000494)
213299,2021,MN,Minnesota,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,11.0,,Sex,Female,POINT (-94.79420050299967 46.35564873600049)
213312,2021,MN,Minnesota,Mental Health,Depression among adults,%,Crude Prevalence,14.3,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
213326,2021,MO,Missouri,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,38.2,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
213406,2021,MS,Mississippi,Arthritis,Arthritis among adults,%,Crude Prevalence,33.7,,Sex,Female,POINT (-89.53803082499968 32.745510099000455)
213419,2021,MI,Michigan,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,17.1,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
213421,2021,MN,Minnesota,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.0,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
213490,2021,MN,Minnesota,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,14.1,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
213496,2021,MT,Montana,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,28.7,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
213515,2021,MO,Missouri,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,38.5,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
213606,2021,MS,Mississippi,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,46.4,,Sex,Female,POINT (-89.53803082499968 32.745510099000455)
213688,2021,MT,Montana,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,55.5,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
213776,2021,NE,Nebraska,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,17.8,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
213778,2021,MT,Montana,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,25.6,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
213896,2021,MA,Massachusetts,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,15.9,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
213901,2021,MI,Michigan,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,32.0,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
213909,2021,NV,Nevada,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,39.0,,Sex,Female,POINT (-117.07184056399967 39.493240390000494)
213933,2021,MN,Minnesota,Disability,Adults with any disability,%,Crude Prevalence,21.3,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
213966,2021,NV,Nevada,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,29.1,,Sex,Female,POINT (-117.07184056399967 39.493240390000494)
214028,2021,MT,Montana,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,13.7,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
214086,2021,NE,Nebraska,Arthritis,Arthritis among adults,%,Crude Prevalence,27.0,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
214101,2021,MD,Maryland,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,37.7,,Sex,Female,POINT (-76.60926011099963 39.29058096400047)
214170,2021,MS,Mississippi,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,16.6,,Sex,Female,POINT (-89.53803082499968 32.745510099000455)
214257,2021,MI,Michigan,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,12.8,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
214285,2021,MO,Missouri,Disability,Adults with any disability,%,Crude Prevalence,32.7,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
214354,2021,MS,Mississippi,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,11.6,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
214442,2021,MT,Montana,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,80.6,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
214458,2021,NE,Nebraska,Asthma,Current asthma among adults,%,Crude Prevalence,11.1,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
214490,2021,MN,Minnesota,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,15.1,,Sex,Female,POINT (-94.79420050299967 46.35564873600049)
214526,2021,MS,Mississippi,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,18.5,,Sex,Female,POINT (-89.53803082499968 32.745510099000455)
214541,2021,NE,Nebraska,Alcohol,Alcohol use among high school students,%,Crude Prevalence,16.2,,Sex,Male,POINT (-99.36572062299967 41.6410409880005)
214579,2021,MO,Missouri,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.9,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
214601,2021,NE,Nebraska,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,15.4,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
214649,2021,MO,Missouri,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,15.1,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
214650,2021,NE,Nebraska,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,16.7,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
214665,2021,MA,Massachusetts,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,31.7,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
214755,2021,MT,Montana,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,32.3,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
214779,2021,MO,Missouri,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,61.5,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
214787,2021,MO,Missouri,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,32.9,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
214793,2021,MN,Minnesota,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,13.9,,Sex,Female,POINT (-94.79420050299967 46.35564873600049)
214801,2021,NV,Nevada,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,26.5,,Sex,Male,POINT (-117.07184056399967 39.493240390000494)
214815,2021,MS,Mississippi,Diabetes,Diabetes among adults,%,Crude Prevalence,16.0,,Sex,Female,POINT (-89.53803082499968 32.745510099000455)
214833,2021,MA,Massachusetts,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,80.2,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
214871,2021,MD,Maryland,Disability,Adults with any disability,%,Crude Prevalence,20.5,,Sex,Male,POINT (-76.60926011099963 39.29058096400047)
214881,2021,MD,Maryland,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,33.7,,Sex,Female,POINT (-76.60926011099963 39.29058096400047)
214918,2021,MD,Maryland,Mental Health,Depression among adults,%,Crude Prevalence,21.4,,Sex,Female,POINT (-76.60926011099963 39.29058096400047)
214936,2021,MN,Minnesota,Arthritis,Arthritis among adults,%,Crude Prevalence,26.3,,Sex,Female,POINT (-94.79420050299967 46.35564873600049)
214940,2021,MN,Minnesota,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,23.6,,Sex,Female,POINT (-94.79420050299967 46.35564873600049)
214985,2021,MT,Montana,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,18.1,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
214990,2021,MO,Missouri,Asthma,Current asthma among adults,%,Crude Prevalence,12.5,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
215029,2021,MS,Mississippi,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,38.5,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
215039,2021,MT,Montana,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,64.7,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
215131,2021,MI,Michigan,Alcohol,Alcohol use among high school students,%,Crude Prevalence,19.2,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
215198,2021,MN,Minnesota,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.0,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
215240,2021,MO,Missouri,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,6.6,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
215286,2021,MO,Missouri,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,32.2,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
215307,2021,MT,Montana,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,21.8,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
215313,2021,MN,Minnesota,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,75.2,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
215319,2021,MO,Missouri,Arthritis,Arthritis among adults,%,Crude Prevalence,32.5,,Sex,Female,POINT (-92.56630005299968 38.635790776000476)
215368,2021,MA,Massachusetts,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,10.7,,Sex,Male,POINT (-72.08269067499964 42.27687047000046)
215459,2021,MA,Massachusetts,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,44.5,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
215515,2021,NE,Nebraska,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,12.6,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
215578,2021,MT,Montana,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,23.2,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
215603,2021,MD,Maryland,Lung Disease,Current tobacco use of any tobacco product among high school students,%,Crude Prevalence,17.8,,Sex,Female,POINT (-76.60926011099963 39.29058096400047)
215649,2021,MI,Michigan,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,10.7,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
215652,2021,MS,Mississippi,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,58.4,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
215692,2021,MA,Massachusetts,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,13.1,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
215747,2021,MI,Michigan,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,0.5,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
215782,2021,MN,Minnesota,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,42.7,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
215825,2021,NE,Nebraska,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,67.0,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
215838,2021,MD,Maryland,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,37.2,,Sex,Male,POINT (-76.60926011099963 39.29058096400047)
215848,2021,MD,Maryland,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,18.3,,Sex,Male,POINT (-76.60926011099963 39.29058096400047)
215882,2021,MI,Michigan,Lung Disease,Current electronic vapor product use among high school students,%,Crude Prevalence,16.9,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
215901,2021,MS,Mississippi,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,8.3,,Sex,Male,POINT (-89.53803082499968 32.745510099000455)
215929,2021,MA,Massachusetts,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.0,,Sex,Male,POINT (-72.08269067499964 42.27687047000046)
215990,2021,NE,Nebraska,Alcohol,Alcohol use among high school students,%,Crude Prevalence,21.4,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
216051,2021,NE,Nebraska,Mental Health,Depression among adults,%,Crude Prevalence,22.3,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
216060,2021,MT,Montana,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,24.0,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
216078,2021,MT,Montana,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,2.5,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
216117,2021,NV,Nevada,Arthritis,Have taken an educational class to learn how to manage arthritis symptoms among adults with arthritis,%,Crude Prevalence,15.0,,Sex,Male,POINT (-117.07184056399967 39.493240390000494)
216124,2021,MI,Michigan,Asthma,Current asthma among adults,%,Crude Prevalence,15.3,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
216159,2021,MO,Missouri,Diabetes,Diabetes among adults,%,Crude Prevalence,12.6,,Sex,Male,POINT (-92.56630005299968 38.635790776000476)
216165,2021,MN,Minnesota,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,9.6,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
216180,2021,NV,Nevada,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,%,Crude Prevalence,5.7,,Sex,Male,POINT (-117.07184056399967 39.493240390000494)
216219,2021,NE,Nebraska,Disability,Adults with any disability,%,Crude Prevalence,24.8,,Sex,Male,POINT (-99.36572062299967 41.6410409880005)
216232,2021,MA,Massachusetts,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,12.2,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
216250,2021,NE,Nebraska,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,19.7,,Sex,Male,POINT (-99.36572062299967 41.6410409880005)
216275,2021,MD,Maryland,Mental Health,Frequent mental distress among adults,%,Crude Prevalence,10.3,,Sex,Male,POINT (-76.60926011099963 39.29058096400047)
216277,2021,MA,Massachusetts,Alcohol,Alcohol use among high school students,%,Crude Prevalence,19.5,,Sex,Male,POINT (-72.08269067499964 42.27687047000046)
216332,2021,NE,Nebraska,Alcohol,Binge drinking prevalence among high school students,%,Crude Prevalence,9.4,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
216361,2021,MD,Maryland,Lung Disease,Current cigarette smoking among adults,%,Crude Prevalence,8.6,,Sex,Female,POINT (-76.60926011099963 39.29058096400047)
216373,2021,MT,Montana,Arthritis,Activity limitation due to arthritis among adults with arthritis,%,Crude Prevalence,13.6,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
216417,2021,MA,Massachusetts,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,%,Crude Prevalence,70.1,,Sex,Female,POINT (-72.08269067499964 42.27687047000046)
216422,2021,NE,Nebraska,Lung Disease,Current smokeless tobacco use among high school students,%,Crude Prevalence,1.3,,Sex,Female,POINT (-99.36572062299967 41.6410409880005)
216459,2021,MI,Michigan,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,35.1,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
216470,2021,MA,Massachusetts,Arthritis,Severe joint pain among adults with arthritis,%,Crude Prevalence,22.1,,Sex,Male,POINT (-72.08269067499964 42.27687047000046)
216523,2021,MS,Mississippi,Disability,Adults with any disability,%,Crude Prevalence,42.0,,Sex,Female,POINT (-89.53803082499968 32.745510099000455)
216556,2021,MN,Minnesota,Arthritis,Physical inactivity among adults with arthritis,%,Crude Prevalence,25.4,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
216663,2021,MS,Mississippi,Mental Health,Depression among adults,%,Crude Prevalence,25.9,,Sex,Female,POINT (-89.53803082499968 32.745510099000455)
216668,2021,MI,Michigan,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,38.5,,Sex,Male,POINT (-84.71439026999968 44.6613195430005)
216823,2021,MT,Montana,Mental Health,Current poor mental health among high school students,%,Crude Prevalence,41.0,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
216833,2021,MT,Montana,Lung Disease,Quit attempts in the past year among adult current smokers,%,Crude Prevalence,43.3,,Sex,Male,POINT (-109.42442064499971 47.06652897200047)
216848,2021,MN,Minnesota,Asthma,Current asthma among adults,%,Crude Prevalence,6.8,,Sex,Male,POINT (-94.79420050299967 46.35564873600049)
216922,2021,MI,Michigan,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,%,Crude Prevalence,41.0,,Sex,Female,POINT (-84.71439026999968 44.6613195430005)
216927,2021,MT,Montana,Alcohol,Binge drinking prevalence among adults,%,Crude Prevalence,15.4,,Sex,Female,POINT (-109.42442064499971 47.06652897200047)
217006,2021,NV,Nevada,Chronic Obstructive Pulmonary Disease,Current smoking among adults with chronic obstructive pulmonary disease,%,Crude Prevalence,32.3,,Sex,Female,POINT (-117.07184056399967 39.493240390000494)
